title,content,date,channel_name
Windows 11 может запрещать запуск пиратского контента так работает антипиратский чип Microsoft Pluton.,"Он базируется на тех же технологиях, что и защита от пиратов на консолях Xbox система принудительно проверяет файлы на наличие лицензии и блокирует доступ в случае ее отсутствия. Правда, на ПК это работает не только с играми, но с музыкой и фильмами. Правда, есть спасение жмем Подробнее и выбираем Запустить в любом случае.",2023-05-11,exploitex
"Один доллар за минуту общения с девушкой популярная Snapchat-блогерша Кэрин Марджори с 1,8 млн. подписчиков придумала новый способ заработка.","С помощью стартапа Forever Voices и GPT-4 она оцифровала себя и теперь продает поклонникам общение со своей виртуальной копией по скромной цене доллар за минуту. Услуга оказалась весьма востребованной сейчас у Кэрин больше 1000 бойфрендов, которые готовы платить за интимное общение с ней. В короткие сроки ей удалось собрать свыше 71 610 долларов. Кажется, концепция OnlyFans уже устарела.",2023-05-11,exploitex
У Яндекса вышло уже 10 эпизодов подкаста про технологи yet another podcast. Если пропустили,Может ли гуманитарий стать разработчиком Зачем компании нанимают хакеров Как нейросеть учили переводу видео с китайского Зачем нужны телевизоры с Алисой Как построить умный дом и какие лайфхаки помогут в этом. Все эпизоды смотрите на YouTube или слушайте на Яндекс Музыке.,2023-05-11,exploitex
Google запустила открытую бету своего генератора музыки MusicLM.,"По факту, пускают всех, но придется недолго посидеть в листе ожидания. Работает просто коротко описываем будущую песню, а ИИ пытается ее сгенерировать. Стоит понимать, что чем короче и точнее будет подсказка, тем лучше будет генерация. Чтобы попробовать, придется оставить заявку в AI Test Kitchen.",2023-05-11,exploitex
Хорошие новости авторы получили официальный API от GPT-4 для своего телеграм-бота.,"Отличить модель OpenAI от подделок и старых версий модели просто они совсем не умеют решать логические задачи, тогда как GPT-4 без труда решает их пример на скриншоте. Туда же для удобства добавили интеграцию Midjourney бот перенаправляет ваши запросы на Discord-сервера, а в ответ выдаст сгенерированное изображение. У нас претендент на звание лучшего ИИ-бота в Телеграм.",2023-05-11,exploitex
ASUS наконец-то представили убийцу SteamDeck свою портативную консоль Rog Ally.,"Устройство работает на базе мобильных процессоров Ryzen Z1 и Z1 Extreme с производительностью до 8,6 терафлопс. Экран 7 дюймов, OLED, Full HD, 120 Гц, 16/512 ГБ памяти с возможностью расширения MicroSD. Операционная система Windows 11. Хвалят все, кроме батареи, но и ее хватает на 4 часа непрерывной игры. Старт продаж 13 июня по цене от 599 долларов 46 000 рублей.",2023-05-11,exploitex
"Наконец-то полезные разработки ученые создали робота TidyBot, который может убрать квартиру за вас.","Он умеет сортировать вещи по цвету, перерабатывает банки из-под пива, кладет вещи на места, собирает мусор, только посуду не моет. Робот успешно выполняет 85% задач по обычным текстовым командам, но у него есть один минус в продаже появится не скоро. Роботы-пылесосы напряглись.",2023-05-11,exploitex
Анекдот дня школьный учитель в США завалил половину учеников из-за использования ChatGPT.,"Чтобы доказать преподавателю, что он не прав, школьник прогнал через детектор... первую главу Библии сервис с уверенностью заявил, что текст написан ChatGPT. Азимов и это предвидел.",2023-05-11,exploitex
В EGS началась раздача халявы сегодня отдают коллекцию дополнений Жажда Приключений для Sims 4.,"Игрокам из России и Беларуси халява доступна, забираем тут. К слову, лицензионная The Sims 4 полностью бесплатна, можно скачать в том же EGS.",2023-05-11,exploitex
"Мам, не ругайся, но карта опять потерялась","Как быть? Заказать детский платёжный стикер запустили его ПЕРВЫМИ в стране для пользователей Альфы 20 000 стикеров выпустим бесплатно, следующие за 290 рублей. Денег за обслуживание не будем брать никогда Какой кэшбэк? Такой же, как по детской карте 5% на кафе и 1% на всё. Зачислим его на счёт родителя. Что ещё? В приложении и Альфа-Онлайн можно играть и зарабатывать настоящие деньги. Там же можно учиться финансовой грамотности добавили подсказки для тех, кто только начинает пользоваться картой. Редактор канала тоже хочет играть и получать карманные",2023-05-11,exploitex
Подгон для программистов сервис Metabob помогает автоматизировать откладку и рефакторинг кода.,"Фича в том, что ИИ на ходу проверяет написанный вами код, сигнализируя об ошибках, объясняя и устраняя их. Работает с Python, Javascript, Typescript, C++, C и Java, доступно в Github, Bitbucket, Gitlab и VScode. Это почти что кнопка Сделай нормально.",2023-05-11,exploitex
"Крутейший сервис ScreenStory, который позволит сделать запись экрана с анимациями как из After Effects.","Все просто просто делаете запись с демонстрацией своего продукта или гайдом, а сервис автоматически расставит переходы и эффекты в зависимости от ваших кликов и контекста. Один минус пока что доступно только для Mac, версию для Windows запилят позже.",2023-05-12,exploitex
"Иногда бывает сложно выбрать подходящий курс для развития в IT половина материала в них и так изучена, а действительно важные темы спрятаны где-то глубоко.",Точечно прокачать навыки и получить новые реально на курсе Образовательный конструктор от Skillfactory. С помощью курса вы можете самостоятельно создать уникальную программу обучения по собственному выбору. Например Разработка Информационная безопасность Тестирование и DevOps Data Science Аналитика данных Создание мобильных приложений. Начать обучение можно с любого модуля. А по промокоду EXPLOITEX вы получите скидку 45% на обучение. До работы мечты осталось пару кликов,2023-05-12,exploitex
Дизайнерам и маркетологам приготовиться сейчас у вас появится новый сервис в закладках Mokker генерирует с помощью ИИ крутые фоны для товаров.,"Есть перечень стоковых бэкграундов, либо можно создать свой на основе текстовой подсказки. При этом, сервис хорошо понимает расположение объектов и освещение, накладывая реалистичные тени и эффекты. Бесплатно дают 20 генераций, а потом можно создать новый аккаунт с другой почтой.",2023-05-12,exploitex
"Пятничное инженер собрал мотоцикл, который работает на пиве.","Хмельной напиток превращается в пар, благодаря чему двигатель может разгонять байк до 240 км/час. Знаете, я и сам своего рода такой мотоцикл.",2023-05-12,exploitex
"Google добрался и до аниме-девочек витуберов компания представила инструмент Face Landmarker, который может производить качественный захват мимики и движений с помощью одной лишь вебки.","Пока доступно демо, где каждый может почувствовать себя енотом, но есть поддержка сторонних моделей.",2023-05-12,exploitex
"Идеальный сервис, который в игровой форме научит вас писать промты для ChatGPT и обходить ограничения нейросети в этой игре у вас одна задача семь раз выведать пароль у виртуального Гэндальфа.","Сложность со временем будет повышаться, и если на первом уровне Хранитель Паролей охотно поведает вам свой секрет, то уже на втором начнет отмазываться извините, как языковая модель.... Самое то залипнуть на выходных.",2023-05-12,exploitex
Утром 9 мая военный аэродром в Воронеже пытались атаковать с помощью ракеты.,"По данным издания ASTRA, это произошло незадолго до начала военного парада на Красной площади в Москве. ПВО сбили ракету возле аэродрома Балтимор в 940 утра. Журналисты утверждают, что обломки ракеты нашли вечером в лесополосе недалеко от кладбища Никольское. На данный момент ее тип установить не удалось, найденный фрагмент оказался невзрывоопасным радиолокационная головка самонаведения. По данным издания, пострадавших в ходе происшествия нет.",2023-05-10,ostorozhno_novosti
"Губернатор Белгородской области сообщил об обстреле Шебекино, ранен местный житель.","Зафиксированы два прилета по окраине города, в огороды частных жилых домов. Есть один пострадавший, мужчина с осколочным ранением в голову. Бригада скорой медицинской помощи доставляет его в больницу, состояние тяжелое, сообщил Вячеслав Гладков. UPD Пострадавший мужчина скончался в машине скорой помощи. У него была открытая черепно-мозговая травма.",2023-05-10,ostorozhno_novosti
Американский журналист Такер Карлсон запустит свое шоу в Twitter.,"Карлсон бывший ведущий Fox News, главный консервативный спикер в стране и один из самых популярных журналистов в США. С июля 2020 его ток-шоу Tucker Carlson Tonight было самой популярной программой в прайм-тайм среди всех кабельных новостных каналов. Лидерство оно потеряло только после отмены шоу из-за увольнения Карлсона американские СМИ писали, что это может быть связано с его позицией по Украине. Карлсона обвиняли в повторении тезисов российской пропаганды, симпатиях к Владимиру Путину, расизме и популяризации теорий заговоров. Теперь же Карлсон сообщил, что возродит свое шоу в Твиттере. В видеообращении он заявил, что все англоязычные СМИ обманывают аудиторию, а за попытку говорить настоящую правду без манипуляций журналиста может ждать увольнение. При этом выход нового шоу все еще может заблокировать Fox News в данный момент идут переговоры по расторжению контракта, по данным американских СМИ, канал хочет максимально ограничить возможность журналиста работать в конкурирующих ресурсах до 2025 года, когда пройдут выборы президента. Ролик Карлосона также прокомментировал Илон Маск он сообщил, что журналист не подписывал контракт с соцсетью. Зарабатывать ведущий сможет с помощью системы вознаграждения контента за просмотры и показ рекламы, которая разрабатывается прямо сейчас. Также Маск призвал оппонентов Карлсона особенно левых запускать свои шоу в соцсети.",2023-05-10,ostorozhno_novosti
Указом Владимира Путина с 15 мая отменен визовый режим для граждан Грузии. Также снят запрет для российских авиакомпаний на полеты в Грузию.,Указом Владимира Путина с 15 мая отменен визовый режим для граждан Грузии. Также снят запрет для российских авиакомпаний на полеты в Грузию.,2023-05-10,ostorozhno_novosti
С 9 мая в Польше изменили рекомендуемое название Калининграда теперь его нужно называть Крулевцем.,"Комиссия по стандартизации географических названий за пределами Республики Польша на своем 125-м заседании, которое состоялось еще 12 апреля, постановила, что для Калининграда рекомендуется использовать исключительно польское название Krlewiec. Об этом говорится в коммюнике комиссии, которое появилось во вторник, при этом действовать правило начинает с момента публикации 9 мая. Название Калининградская область в польском языке также должно быть исключено, а для административной единицы рекомендуется польское название Крулевский район/область. В коммюнике сказано, что Калининград, известен в Польше под традиционным названием Крулевец и что нынешнее русское название искусственное, не имеющее отношения ни к городу, ни к области. Комиссия также заявила, что присвоение городу, расположенному возле польской границы, имени преступника и коммуниста Михаила Калинина несет негативный эмоциональный характер. Комиссия указывает, что последние события конфликт в Украине, пропаганда русского мира, ведение информационной войны вынуждают пересмотреть проблему названий, связанных со спорными терминами. Каждая страна имеет право использовать в своем языке традиционные названия, составляющие ее культурное наследие, она не может быть принуждена к использованию неприемлемых названий, говорится в документе.",2023-05-10,ostorozhno_novosti
"В Ульяновске собирают подписи на имя губернатора ради сохранения шашлычной. Он создал комиссию, которая займётся решением судьбы заведения.","Важные события разворачиваются вокруг городской шашлычной на улице Федерации, которая работает уже 24 года. В 1999 здесь была свалка сейчас рядом бары и рестораны, владельцы разгребли мусор, забетонировали площадку, поставили строительные вагончики и взяли землю в аренду. Владельцы каждый раз продлевали ее, пытаясь в этом время получить разрешение на строительство. Договор продлевали, разрешение владельцам получить так и не удалось. А 30 апреля этого года владельца шашлычной Гульнара Бабаева получила заказное от министерства имущественных отношений и архитектуры. Аренду продлевать отказались, ведомство обязало снести незарегистрированный объект. При этом владельцам предложили другую точку, но они отказались съезжать и демонтировать свое заведение. Теперь местные жители стали собирать подписи с просьбой сохранить общепит. По сути это история. Спросите любого ульяновца, и каждый ответит, куда идти за лучшим шашлыком и пловом, говорится в документе. Сегодня на сбор подписей отреагировал губернатор Алексей Русских во время совещания в областном правительстве он поручил создать комиссию, которая займётся решением судьбы шашлычной. В нее войдут представители шашлычной, глава Ульяновска, уполномоченный по защите прав предпринимателей Екатерина Толчина и советник губернатора по архитектуре.",2023-05-10,ostorozhno_novosti
Президент Грузии Саломе Зурабишвили назвала отмену визового режима со стороны РФ очередной провокацией.,"По словам президента, восстановление прямого авиасообщения и снятие визовых ограничений неприемлемы из-за политической обстановки. Очередная российская провокация. Восстановление прямого авиасообщения и снятие визовых ограничений с Грузией недопустимо, пока Россия продолжает свою агрессию против Украины и оккупацию нашей территории, заявила Зурабишвили. Для восстановления авиасообщения с Грузией нужно согласие самой страны. Сейчас за это выступают правящая партия Грузинская мечта ранее там заявляли, что это необходимо грузинской диаспоре, которая широко представлена в РФ. Против авиасообщения выступает президент Саломе Зурабишвили Грузия парламентская республика, поэтому в ее руках мало рычагов влияния, а также оппозиционные партии. Против авиасообщения между РФ и Грузией также высказывались представители ЕС и США.",2023-05-10,ostorozhno_novosti
"Глава Минюста заявил, что запрет на смену пола введут в ближайшее время. Его также могут сделать медицинским, а не только юридическим.","А еще чиновник сказал, что со времен Ивана Грозного Запад противостоит России, именно он устроил революцию 1917 года, а мировое правительство коллективный Запад хочет уничтожить традиционные ценности. Сегодня на пленарном заседании XI Петербургского международного юридического форума проходил молодежный день. На нем выступили Александр Бастрыкин, Мария Львова-Белова, а также глава Минюста Константин Чуйченко. Большую часть своего выступления чиновник посвятил трансфобной риторике. Он говорил про мировое правительство, называл трансгендеров больными людьми, сравнивал гормональную терапию с наркоманией в интересах фарм-индустрии, заявил, что нетрадиционные ценности превращают людей в послушных потребителей, рассказал, что в американских тюрьмах на гормонах сидит треть заключенных, а смена пола сокращает жизнь а значит не нужно платить пенсию. Чуйченко также транслировал теорию заговора о мировом правительстве, которое хочет сократить население Земли. После этого он заговорил о России. Мы посмотрели статистику и были немножко удивлены, заявил министр. По его словам, с 2018 по 2022 в РФ было произведено примерно по 400 записей в год об изменении пола. За 4 года эти люди зарегистрировал 190 браков. Чуйченко пожаловался, что не может из-за тайны усыновления узнать усыновляли ли эти люди детей. Из-за этой статистики чиновники решили запретить смену пола, законопроект должен появиться в ближайшее время. По словам Чуйченко, чиновники прямо сейчас решают запрещать ли смену пола медицински прием гормонов, операции, об этом ранее публично не сообщалось или ограничиться только юридическим аспектомсмена документов. Чуйченко считает, что можно ввести только юридические ограничения, но призывает лечить психологическое заболевание так он называет транс-персон, чтобы они восстановили свое психологическое состояние и возвращались к своей природе.",2023-05-10,ostorozhno_novosti
"Отмена визового режима для граждан Грузии. Президент страны требует ввести трехмесячные визы для Россиян, гражданам РФ хотят запретить покупать жилье, власти просят не перекладывать на правительство ответственность за решения Владимира Путина.","Президент страны Саломе Зурабишвили продолжает высказываться против отмены виз со стороны РФ и возобновления авиасообщения. По ее словам, Россия является агрессором для всего мира, поэтому с ней нельзя восстанавливать связи. Зурабишвили заявила, что решение РФ вызовет напряженность между политическими силами в Грузии. Она призывает созвать Совет Безопасности, обсудить введение 3-месячных виз с Россией, усилить контроль за россиянами в стране и ввести ограничения. Зурабишвили считает, что нельзя открывать русскоязычные детские сады, а также стоит ввести ограничения для ряда профессий. Она также заявила, что если правительство Грузии пойдет на встречу РФ, то общество найдет на это ответ. Председатель комитета по европейской интеграции парламента Грузии Мака Бочоришвили заявила, что действия российского правительства всегда были направлены на то, чтобы создать как можно больше барьеров для европейского будущего Грузии. При этом нельзя требовать ответа от правительства страны на решения Владимира Путина и возлагать на власть эту ответственность. В это же время местные политики Роман Гоциридзе и Хатия Деканоидзе зарегистрировали в парламенте законопроект, запрещающий продажу недвижимости гражданам России до конца 2024 года. Ситуация очень серьезная, это серьезно ударило по нашим гражданам. Люди не могут купить квартиру, цены стали очень высокими. Если раньше метр жилья стоил 800-900 долларов, то сейчас цена поднялась до 2000 долларов. В Грузии остаются 120 тысяч граждан России. Они купили 11 000 квартир за последние 13 месяцев, заявил Гоциридзе.",2023-05-10,ostorozhno_novosti
Вокалист группы Три дня дождя предложил ся нй всем недовольным и анонсировал благотворительные концерты в Донецке и Луганске.,"27-летний музыкант Глеб Викторов написал, что последние лет 15 замечал карикатурно-насмешливые издевательства насчет русского человека и России. Так вот, идите на хй, у нас есть культура, есть обычаи, есть многонациональность. У нас есть понятия и устои. Я люблю это место, этих людей, этот нрав, заявил артист. А также предложил недовольным политикой РФ не дизморалить население России, либо покинуть страну. Он также анонсировал благотворительные концерты в ЛДНР и сообщил, что уже ведет переговоры. Около года назад Викторов в состоянии алкогольного опьянения кричал патриотические лозунги на одном из региональных концертов, что вызвало недовольство зрителей. Знакомые артиста рассказали Осторожно, новости, что тогда он пытался объяснить свой поступок и в личных беседах говорил, что ему было обидно, что Россию кенселят, но при этом выступал против СВО и не поддерживал власти РФ. При этом Три дня дождя сотрудничают с лейблом Изба, который является частью Black Star. По словам знакомых, один из менеджеров лейбла, который общается с Викторовым, за последнее время сильно поменял его мнение и, вероятно, подтолкнул к данной публичной позиции.",2023-05-10,ostorozhno_novosti
Участника Маяковский чтений Николая Дайнеко приговорили к 4 годам колонии по делу об экстремизме и призывах к деятельности против безопасности государства.,"Из-за чтения стихов. Обвинение просило приговорить Дайнеко к 4 годам колонии общего режима. На суде он извинился перед всеми, кого оскорбило произошедшее и заявил, что раскаивается. Дайнеко отправили в СИЗО в сентябре прошлого года. Он заключил соглашение со следствием и дал признательные показания, поэтому его дело выделили в отдельное производство. Дело против других обвиняемых Артема Камардина он сообщал про пытки и насилие при задержании и Егора Штовбы будут слушать позже. Уголовное дело на молодых людей возбудили после сентябрьских Маяковских чтений, сбора поэтов у памятника Маяковскому в Москве. Чтения проходили каждый месяц, в сентябре их объявили антимобилизационными, активисты читали на них и антивоенные стихотворения. Уголовное дело появилось после серии постов в Z-каналах они призывали наказать поэтов из-за стихотворения Убей меня, ополченец.",2023-05-10,ostorozhno_novosti
